seed,allocation,speed,health,hunting,elements,farming,gathering,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars,food,wood,stone,knowledge,wealth,influence,unrest,produced_food,consumed_food,spoiled_food,produced_wood,consumed_wood,births,deaths,combat_deaths,raids,trades,elections,coups,rivals_alive,trait_points_spent,techs_chosen
1000,naive-even,5,5,5,5,4,4,89,3343,3284,6,ASCENSION,PRAGMATIC,283,34,396769,319681,329440,6,75074,39746,0.000,52118830,27613764,24110166,353036,33355,3932,703,162,28,1529,23,0,3,18,6
1000,farmer,3,4,3,4,8,3,95,2436,2436,6,ASCENSION,PASSIVE,180,44,312904,352046,320149,2,87684,29913,0.000,65703106,28525595,36866477,376441,24395,3036,655,80,13,2156,24,0,3,16,6
1000,farm+elements,3,4,3,6,6,3,114,3949,3949,6,ASCENSION,PRAGMATIC,200,53,506377,400795,392632,8,73445,57347,0.000,64898081,34876120,29517454,427265,26470,5323,1429,394,26,1820,29,0,3,18,6
1000,hardy,3,8,3,5,4,3,1,56,0,0,COLLAPSE,PASSIVE,0,0,0,485,0,7,60,57,0.007,22792,24662,0,535,50,2,57,0,0,21,1,0,4,8,0
1000,swift,8,4,3,3,5,3,6,89,0,0,COLLAPSE,PRAGMATIC,25,0,0,557,1099,29,32,270,0.021,158460,159038,1292,1962,1405,39,94,0,0,159,2,0,3,8,0
1000,hunter,5,4,8,3,3,3,0,55,0,0,COLLAPSE,NONE,0,0,0,411,116,6,35,36,0.000,16313,18183,0,411,0,0,55,0,0,4,0,0,4,8,0
1000,warlike,4,3,7,3,6,3,87,2257,2257,6,ASCENSION,AMBITIOUS,207,3,264233,269307,223858,8,15323,32770,0.000,40926631,21939291,18724977,300467,31160,2685,483,31,9,2646,22,0,3,16,6
1000,scholar-ish,7,5,3,3,5,3,108,4030,4030,6,ASCENSION,PASSIVE,187,41,544919,688061,540902,7,27449,39582,0.000,84226123,40595865,43087208,708111,20050,4917,942,256,14,2450,27,0,3,18,6
1000,weathered,3,4,3,8,5,3,2,66,0,0,COLLAPSE,ZEALOT,9,0,0,291,192,21,84,108,0.020,53862,55732,0,761,470,13,68,0,1,63,1,0,4,8,0
1000,bad,8,3,3,3,1,3,0,55,0,0,COLLAPSE,NONE,0,0,0,231,0,2,6,20,0.000,7519,9389,0,231,0,0,55,0,0,4,0,0,4,3,0
1000,pure-speed,8,4,3,3,4,3,9,126,0,0,CONQUEST,AMBITIOUS,32,1,0,537,1499,266,0,403,0.020,254234,254988,1116,2642,2105,75,130,2,5,250,3,0,3,7,0
1000,pure-health,3,8,3,4,4,3,1,57,0,0,COLLAPSE,PASSIVE,0,0,0,515,0,6,36,53,0.014,20658,22528,0,560,45,4,59,0,0,12,1,0,4,7,0
1000,pure-hunting,3,4,8,3,4,3,1,55,0,0,COLLAPSE,ZEALOT,0,0,0,367,42,5,16,40,0.009,18392,20262,0,427,60,1,56,0,0,9,1,0,4,7,0
1000,pure-elements,3,4,3,8,4,3,1,55,0,0,COLLAPSE,AMBITIOUS,0,0,0,407,0,4,19,43,0.016,18343,20213,0,432,25,1,56,0,0,9,1,0,4,7,0
1000,pure-farming,3,4,3,4,8,3,95,2436,2436,6,ASCENSION,PASSIVE,180,44,312904,352046,320149,2,87684,29913,0.000,65703106,28525595,36866477,376441,24395,3036,655,80,13,2156,24,0,3,16,6
1000,pure-gathering,3,4,3,3,4,8,0,55,0,0,COLLAPSE,NONE,0,0,0,596,0,3,11,33,0.000,14159,16029,0,596,0,0,55,0,0,4,0,0,4,7,0
1000,farm+gathering,3,4,3,3,6,6,84,2317,2317,6,ASCENSION,AMBITIOUS,235,38,261168,320024,278684,4,92850,33315,0.000,40864992,22139025,18466668,348499,28475,2833,571,220,32,1711,21,0,3,15,6
1000,solo-speed,8,4,4,4,4,4,8,112,0,0,COLLAPSE,PASSIVE,44,0,0,831,1509,191,0,343,0.011,202140,201874,2135,2556,1725,60,115,0,1,268,2,0,4,10,0
1000,solo-health,4,8,4,4,4,4,1,59,0,0,COLLAPSE,ZEALOT,1,0,0,512,147,10,0,64,0.022,26454,28324,0,697,185,4,59,0,0,22,1,0,4,10,0
1000,solo-hunting,4,4,8,4,4,4,1,55,0,0,COLLAPSE,ZEALOT,2,0,0,359,239,7,137,61,0.012,28629,30499,0,529,170,3,58,0,0,23,1,0,4,10,0
1000,solo-elements,4,4,4,8,4,4,1,56,0,0,COLLAPSE,PASSIVE,1,0,0,498,0,7,12,52,0.030,22857,24727,0,523,25,2,57,0,0,19,1,0,4,10,0
1000,solo-farming,4,4,4,4,8,4,95,3907,3906,6,ASCENSION,AMBITIOUS,200,1,668209,624650,533401,8,10253,21353,0.000,102029009,42137057,59225612,649160,24510,4595,744,0,4,2544,24,0,3,19,6
1000,solo-gathering,4,4,4,4,4,8,1,55,0,0,COLLAPSE,PRAGMATIC,0,0,0,601,0,5,32,39,0.005,17866,19736,0,641,40,0,55,0,0,6,1,0,4,10,0
1000,duo-speed+health,8,8,3,3,3,3,1,55,0,0,COLLAPSE,PASSIVE,0,0,0,627,0,9,43,38,0.000,14877,16747,0,677,50,0,55,0,0,10,1,0,4,10,0
1000,duo-speed+hunting,8,3,8,3,3,3,83,1896,1896,6,ASCENSION,PRAGMATIC,296,28,223737,249730,243684,3,22969,18235,0.000,29608861,16725356,12661637,271990,22260,2183,342,28,11,1565,21,0,3,18,6
1000,duo-speed+elements,8,3,3,8,3,3,42,55,0,0,COLLAPSE,PASSIVE,0,8,64,3,7,8,163,1613,0.000,117158,106119,12844,598,595,2,57,0,4,1138,11,0,3,14,0
1000,duo-speed+farming,8,3,3,3,8,3,92,2871,2871,6,ASCENSION,PRAGMATIC,237,37,453712,448514,415176,0,73646,61980,0.000,75675823,30951842,44272138,484449,35935,3505,689,5,19,1831,23,0,3,19,6
1000,duo-speed+gathering,8,3,3,3,3,8,0,55,0,0,COLLAPSE,NONE,0,0,0,919,0,6,8,34,0.000,15431,17301,0,919,0,0,55,0,0,9,0,0,4,10,0
1000,duo-health+hunting,3,8,8,3,3,3,1,55,0,0,COLLAPSE,AMBITIOUS,0,0,0,402,2,6,5,49,0.004,14313,16183,0,427,25,2,57,0,0,13,1,0,4,10,0
1000,duo-health+elements,3,8,3,8,3,3,0,56,0,0,COLLAPSE,NONE,0,0,0,336,0,4,19,35,0.000,12285,14155,0,336,0,1,56,0,0,4,0,0,4,10,0
1000,duo-health+farming,3,8,3,3,8,3,90,3346,3346,6,ASCENSION,PASSIVE,204,4,486546,410136,399183,10,50972,48423,0.000,67099066,27454773,39159616,435966,25830,3927,636,13,2,2799,23,0,3,19,6
1000,duo-health+gathering,3,8,3,3,3,8,0,55,0,0,COLLAPSE,NONE,0,0,0,521,0,4,16,31,0.000,11205,13075,0,521,0,0,55,0,0,4,0,0,4,10,0
