seed,allocation,speed,health,hunting,elements,farming,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars
1000,naive-even,5,5,5,5,5,300,255,224,6,ENDURANCE,AMBITIOUS,108,324
1000,farmer,3,4,3,4,8,200,77,0,3,CONQUEST,AMBITIOUS,12,218
1000,farm+elements,3,4,3,6,6,300,85,71,5,ENDURANCE,PASSIVE,75,325
1000,hardy,3,8,3,5,4,4,52,0,0,COLLAPSE,PASSIVE,0,1
1000,swift,8,4,3,3,5,156,72,0,3,CONQUEST,PRAGMATIC,4,203
1000,hunter,5,4,8,3,3,300,76,1,4,ENDURANCE,AMBITIOUS,0,454
1000,warlike,4,3,7,3,6,178,400,400,6,ASCENSION,ZEALOT,129,249
1000,scholar-ish,7,5,3,3,5,141,577,577,6,ASCENSION,PRAGMATIC,180,134
1000,weathered,3,4,3,8,5,300,67,20,5,ENDURANCE,PRAGMATIC,76,258
1000,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
8919,naive-even,5,5,5,5,5,300,189,157,6,ENDURANCE,PRAGMATIC,88,435
8919,farmer,3,4,3,4,8,93,51,0,0,CONQUEST,PASSIVE,27,100
8919,farm+elements,3,4,3,6,6,300,74,39,5,ENDURANCE,PRAGMATIC,60,321
8919,hardy,3,8,3,5,4,27,50,0,0,CONQUEST,AMBITIOUS,0,13
8919,swift,8,4,3,3,5,300,106,75,6,ENDURANCE,PASSIVE,89,321
8919,hunter,5,4,8,3,3,300,122,83,5,ENDURANCE,ZEALOT,80,447
8919,warlike,4,3,7,3,6,300,70,29,5,ENDURANCE,PRAGMATIC,49,444
8919,scholar-ish,7,5,3,3,5,180,400,400,6,ASCENSION,PASSIVE,118,253
8919,weathered,3,4,3,8,5,300,82,46,5,ENDURANCE,PASSIVE,80,411
8919,bad,8,3,3,3,1,19,50,0,0,CONQUEST,AMBITIOUS,0,19
16838,naive-even,5,5,5,5,5,184,423,422,6,ASCENSION,PASSIVE,142,127
16838,farmer,3,4,3,4,8,173,576,575,6,ASCENSION,ZEALOT,130,131
16838,farm+elements,3,4,3,6,6,188,400,400,6,ASCENSION,PRAGMATIC,123,152
16838,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
16838,swift,8,4,3,3,5,166,400,400,6,ASCENSION,AMBITIOUS,124,95
16838,hunter,5,4,8,3,3,13,54,0,0,CONQUEST,PRAGMATIC,1,7
16838,warlike,4,3,7,3,6,140,62,0,1,CONQUEST,ZEALOT,0,125
16838,scholar-ish,7,5,3,3,5,205,400,400,6,ASCENSION,PASSIVE,94,144
16838,weathered,3,4,3,8,5,300,73,39,5,ENDURANCE,ZEALOT,70,140
16838,bad,8,3,3,3,1,1,50,0,0,COLLAPSE,ZEALOT,0,0
24757,naive-even,5,5,5,5,5,300,273,189,6,ENDURANCE,PRAGMATIC,120,331
24757,farmer,3,4,3,4,8,197,400,400,6,ASCENSION,AMBITIOUS,148,228
24757,farm+elements,3,4,3,6,6,180,511,511,6,ASCENSION,PASSIVE,145,198
24757,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
24757,swift,8,4,3,3,5,300,81,55,5,ENDURANCE,PASSIVE,68,477
24757,hunter,5,4,8,3,3,37,50,0,0,COLLAPSE,PRAGMATIC,0,53
24757,warlike,4,3,7,3,6,300,306,119,6,ENDURANCE,PRAGMATIC,142,363
24757,scholar-ish,7,5,3,3,5,300,93,48,5,ENDURANCE,PRAGMATIC,103,523
24757,weathered,3,4,3,8,5,165,405,400,6,ASCENSION,PASSIVE,151,212
24757,bad,8,3,3,3,1,2,50,0,0,COLLAPSE,ZEALOT,0,0
32676,naive-even,5,5,5,5,5,300,83,76,5,ENDURANCE,ZEALOT,81,408
32676,farmer,3,4,3,4,8,279,71,0,3,CONQUEST,PASSIVE,52,313
32676,farm+elements,3,4,3,6,6,100,71,0,1,CONQUEST,PASSIVE,2,195
32676,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
32676,swift,8,4,3,3,5,300,64,10,4,ENDURANCE,ZEALOT,34,418
32676,hunter,5,4,8,3,3,141,57,0,1,CONQUEST,PASSIVE,0,263
32676,warlike,4,3,7,3,6,220,54,0,3,CONQUEST,ZEALOT,3,379
32676,scholar-ish,7,5,3,3,5,300,162,96,5,ENDURANCE,AMBITIOUS,97,261
32676,weathered,3,4,3,8,5,20,55,0,0,CONQUEST,PRAGMATIC,5,16
32676,bad,8,3,3,3,1,27,50,0,0,CONQUEST,PRAGMATIC,4,30
40595,naive-even,5,5,5,5,5,300,96,67,5,ENDURANCE,ZEALOT,74,352
40595,farmer,3,4,3,4,8,300,263,259,6,ENDURANCE,ZEALOT,108,381
40595,farm+elements,3,4,3,6,6,300,283,252,6,ENDURANCE,ZEALOT,110,413
40595,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PRAGMATIC,0,0
40595,swift,8,4,3,3,5,300,307,192,6,ENDURANCE,ZEALOT,108,373
40595,hunter,5,4,8,3,3,300,274,234,6,ENDURANCE,ZEALOT,107,565
40595,warlike,4,3,7,3,6,300,328,144,6,ENDURANCE,AMBITIOUS,120,345
40595,scholar-ish,7,5,3,3,5,300,328,326,6,ENDURANCE,ZEALOT,89,347
40595,weathered,3,4,3,8,5,5,65,0,0,COLLAPSE,ZEALOT,0,3
40595,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
48514,naive-even,5,5,5,5,5,300,342,300,6,ENDURANCE,ZEALOT,103,231
48514,farmer,3,4,3,4,8,144,564,564,6,ASCENSION,ZEALOT,130,202
48514,farm+elements,3,4,3,6,6,300,368,259,6,ENDURANCE,PRAGMATIC,102,410
48514,hardy,3,8,3,5,4,2,52,0,0,COLLAPSE,PRAGMATIC,0,1
48514,swift,8,4,3,3,5,173,414,414,6,ASCENSION,ZEALOT,101,225
48514,hunter,5,4,8,3,3,141,537,535,6,ASCENSION,PRAGMATIC,130,122
48514,warlike,4,3,7,3,6,300,106,41,5,ENDURANCE,ZEALOT,67,373
48514,scholar-ish,7,5,3,3,5,167,400,400,6,ASCENSION,PASSIVE,94,254
48514,weathered,3,4,3,8,5,10,80,0,0,COLLAPSE,PRAGMATIC,1,7
48514,bad,8,3,3,3,1,53,50,0,0,CONQUEST,AMBITIOUS,0,47
56433,naive-even,5,5,5,5,5,300,294,138,6,ENDURANCE,PASSIVE,150,312
56433,farmer,3,4,3,4,8,300,210,173,6,ENDURANCE,PRAGMATIC,131,199
56433,farm+elements,3,4,3,6,6,135,79,0,2,CONQUEST,ZEALOT,0,195
56433,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,AMBITIOUS,0,0
56433,swift,8,4,3,3,5,300,85,16,5,ENDURANCE,PRAGMATIC,91,367
56433,hunter,5,4,8,3,3,48,52,0,0,CONQUEST,PASSIVE,0,61
56433,warlike,4,3,7,3,6,154,89,0,2,CONQUEST,PRAGMATIC,0,286
56433,scholar-ish,7,5,3,3,5,300,75,18,4,ENDURANCE,AMBITIOUS,54,560
56433,weathered,3,4,3,8,5,234,400,400,6,ASCENSION,PRAGMATIC,193,335
56433,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
64352,naive-even,5,5,5,5,5,70,53,0,0,CONQUEST,PASSIVE,0,104
64352,farmer,3,4,3,4,8,141,62,0,0,CONQUEST,PASSIVE,2,207
64352,farm+elements,3,4,3,6,6,300,62,32,4,ENDURANCE,PRAGMATIC,69,250
64352,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,AMBITIOUS,0,0
64352,swift,8,4,3,3,5,256,400,400,6,ASCENSION,PRAGMATIC,111,274
64352,hunter,5,4,8,3,3,1,51,0,0,COLLAPSE,ZEALOT,0,0
64352,warlike,4,3,7,3,6,300,184,146,6,ENDURANCE,AMBITIOUS,89,171
64352,scholar-ish,7,5,3,3,5,300,64,11,4,ENDURANCE,ZEALOT,61,280
64352,weathered,3,4,3,8,5,15,53,0,0,CONQUEST,PRAGMATIC,1,9
64352,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
72271,naive-even,5,5,5,5,5,159,400,400,6,ASCENSION,AMBITIOUS,180,49
72271,farmer,3,4,3,4,8,300,145,79,6,ENDURANCE,PRAGMATIC,106,276
72271,farm+elements,3,4,3,6,6,174,506,505,6,ASCENSION,AMBITIOUS,207,153
72271,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
72271,swift,8,4,3,3,5,237,400,400,6,ASCENSION,ZEALOT,167,162
72271,hunter,5,4,8,3,3,170,479,478,6,ASCENSION,PASSIVE,208,177
72271,warlike,4,3,7,3,6,179,420,420,6,ASCENSION,PASSIVE,190,136
72271,scholar-ish,7,5,3,3,5,261,400,400,6,ASCENSION,ZEALOT,144,184
72271,weathered,3,4,3,8,5,300,97,34,5,ENDURANCE,PASSIVE,92,315
72271,bad,8,3,3,3,1,300,100,13,5,ENDURANCE,PASSIVE,85,80
80190,naive-even,5,5,5,5,5,300,66,8,5,ENDURANCE,ZEALOT,90,137
80190,farmer,3,4,3,4,8,256,400,400,6,ASCENSION,PASSIVE,191,213
80190,farm+elements,3,4,3,6,6,300,225,205,6,ENDURANCE,PRAGMATIC,134,220
80190,hardy,3,8,3,5,4,1,57,0,0,COLLAPSE,PASSIVE,0,0
80190,swift,8,4,3,3,5,272,400,400,6,ASCENSION,ZEALOT,184,271
80190,hunter,5,4,8,3,3,154,61,0,1,CONQUEST,PRAGMATIC,30,171
80190,warlike,4,3,7,3,6,279,400,400,6,ASCENSION,PASSIVE,187,225
80190,scholar-ish,7,5,3,3,5,300,88,42,5,ENDURANCE,ZEALOT,103,147
80190,weathered,3,4,3,8,5,70,55,0,0,CONQUEST,AMBITIOUS,8,29
80190,bad,8,3,3,3,1,300,75,34,5,ENDURANCE,AMBITIOUS,63,196
88109,naive-even,5,5,5,5,5,183,62,0,3,CONQUEST,PASSIVE,6,159
88109,farmer,3,4,3,4,8,206,400,400,6,ASCENSION,ZEALOT,111,311
88109,farm+elements,3,4,3,6,6,276,400,400,6,ASCENSION,PRAGMATIC,111,233
88109,hardy,3,8,3,5,4,3,50,0,0,CONQUEST,PRAGMATIC,0,5
88109,swift,8,4,3,3,5,169,400,400,6,ASCENSION,ZEALOT,113,184
88109,hunter,5,4,8,3,3,268,400,400,6,ASCENSION,PASSIVE,112,233
88109,warlike,4,3,7,3,6,165,513,488,6,ASCENSION,PRAGMATIC,151,191
88109,scholar-ish,7,5,3,3,5,228,400,400,6,ASCENSION,PRAGMATIC,96,264
