seed,allocation,speed,health,hunting,elements,farming,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars
1000,naive-even,5,5,5,5,5,300,86,7,3,ENDURANCE,ZEALOT,72,375
1000,farmer,3,4,3,4,8,184,75,0,2,CONQUEST,PASSIVE,0,205
1000,farm+elements,3,4,3,6,6,300,173,98,5,ENDURANCE,PRAGMATIC,94,131
1000,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
1000,swift,8,4,3,3,5,300,82,18,3,ENDURANCE,ZEALOT,71,377
1000,hunter,5,4,8,3,3,90,50,0,1,CONQUEST,PASSIVE,0,77
1000,warlike,4,3,7,3,6,300,72,19,3,ENDURANCE,PRAGMATIC,64,270
1000,scholar-ish,7,5,3,3,5,300,85,35,4,ENDURANCE,ZEALOT,75,362
1000,weathered,3,4,3,8,5,154,57,0,1,CONQUEST,PASSIVE,0,301
1000,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
1000,pure-speed,8,4,3,3,4,300,88,6,3,ENDURANCE,AMBITIOUS,22,176
1000,pure-health,3,8,3,4,4,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
1000,pure-hunting,3,4,8,3,4,35,50,0,0,CONQUEST,ZEALOT,0,38
1000,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
1000,pure-farming,3,4,3,4,8,184,75,0,2,CONQUEST,PASSIVE,0,205
8919,naive-even,5,5,5,5,5,300,350,111,5,ENDURANCE,AMBITIOUS,86,288
8919,farmer,3,4,3,4,8,300,182,61,5,ENDURANCE,PASSIVE,80,279
8919,farm+elements,3,4,3,6,6,300,243,164,5,ENDURANCE,ZEALOT,82,398
8919,hardy,3,8,3,5,4,0,50,0,0,COLLAPSE,NONE,0,0
8919,swift,8,4,3,3,5,276,67,0,4,CONQUEST,ZEALOT,0,306
8919,hunter,5,4,8,3,3,300,112,22,4,ENDURANCE,PRAGMATIC,62,325
8919,warlike,4,3,7,3,6,55,52,0,0,CONQUEST,AMBITIOUS,0,82
8919,scholar-ish,7,5,3,3,5,271,74,0,3,CONQUEST,PASSIVE,0,375
8919,weathered,3,4,3,8,5,20,51,0,0,CONQUEST,PRAGMATIC,0,13
8919,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
8919,pure-speed,8,4,3,3,4,295,452,452,6,ASCENSION,PASSIVE,142,222
8919,pure-health,3,8,3,4,4,61,50,0,0,CONQUEST,PRAGMATIC,0,61
8919,pure-hunting,3,4,8,3,4,220,61,0,2,CONQUEST,PRAGMATIC,20,214
8919,pure-elements,3,4,3,8,4,0,50,0,0,COLLAPSE,NONE,0,0
8919,pure-farming,3,4,3,4,8,300,182,61,5,ENDURANCE,PASSIVE,80,279
16838,naive-even,5,5,5,5,5,219,771,699,6,ASCENSION,AMBITIOUS,172,91
16838,farmer,3,4,3,4,8,223,910,910,6,ASCENSION,PRAGMATIC,165,73
16838,farm+elements,3,4,3,6,6,213,1112,1112,6,ASCENSION,PRAGMATIC,175,67
16838,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,ZEALOT,0,1
16838,swift,8,4,3,3,5,184,1065,1065,6,ASCENSION,AMBITIOUS,188,61
16838,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
16838,warlike,4,3,7,3,6,207,1039,1039,6,ASCENSION,PASSIVE,193,135
16838,scholar-ish,7,5,3,3,5,213,959,959,6,ASCENSION,AMBITIOUS,178,49
16838,weathered,3,4,3,8,5,2,59,0,0,COLLAPSE,PASSIVE,1,0
16838,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
16838,pure-speed,8,4,3,3,4,1,51,0,0,COLLAPSE,ZEALOT,0,0
16838,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
16838,pure-hunting,3,4,8,3,4,0,51,0,0,COLLAPSE,NONE,0,0
16838,pure-elements,3,4,3,8,4,2,50,0,0,COLLAPSE,ZEALOT,0,1
16838,pure-farming,3,4,3,4,8,223,910,910,6,ASCENSION,PRAGMATIC,165,73
24757,naive-even,5,5,5,5,5,300,119,100,5,ENDURANCE,PRAGMATIC,85,362
24757,farmer,3,4,3,4,8,300,161,147,5,ENDURANCE,PRAGMATIC,83,398
24757,farm+elements,3,4,3,6,6,210,677,627,6,ASCENSION,PASSIVE,179,212
24757,hardy,3,8,3,5,4,2,52,0,0,COLLAPSE,PASSIVE,0,0
24757,swift,8,4,3,3,5,300,350,170,5,ENDURANCE,ZEALOT,141,332
24757,hunter,5,4,8,3,3,136,50,0,1,CONQUEST,AMBITIOUS,3,251
24757,warlike,4,3,7,3,6,300,591,561,5,ENDURANCE,PRAGMATIC,150,296
24757,scholar-ish,7,5,3,3,5,300,290,205,5,ENDURANCE,AMBITIOUS,115,510
24757,weathered,3,4,3,8,5,3,53,0,0,COLLAPSE,ZEALOT,0,1
24757,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
24757,pure-speed,8,4,3,3,4,45,78,0,0,CONQUEST,AMBITIOUS,0,72
24757,pure-health,3,8,3,4,4,0,52,0,0,COLLAPSE,NONE,0,0
24757,pure-hunting,3,4,8,3,4,300,404,404,5,ENDURANCE,ZEALOT,107,356
24757,pure-elements,3,4,3,8,4,1,52,0,0,COLLAPSE,PASSIVE,0,0
24757,pure-farming,3,4,3,4,8,300,161,147,5,ENDURANCE,PRAGMATIC,83,398
32676,naive-even,5,5,5,5,5,273,72,0,2,CONQUEST,ZEALOT,8,469
32676,farmer,3,4,3,4,8,300,129,82,5,ENDURANCE,PASSIVE,88,340
32676,farm+elements,3,4,3,6,6,300,273,101,5,ENDURANCE,ZEALOT,126,342
32676,hardy,3,8,3,5,4,21,50,0,0,CONQUEST,ZEALOT,0,10
32676,swift,8,4,3,3,5,248,60,0,2,CONQUEST,PRAGMATIC,65,320
32676,hunter,5,4,8,3,3,50,50,0,0,CONQUEST,PASSIVE,2,74
32676,warlike,4,3,7,3,6,293,769,719,6,ASCENSION,AMBITIOUS,191,356
32676,scholar-ish,7,5,3,3,5,58,62,0,0,CONQUEST,ZEALOT,0,89
